Date,Open,High,Low,Close,Volume,Adj Close
2/25/2011,32.29,33.09,32.27,10,20846500,32.95
2/24/2011,32.1,32.41,31.64,10.4,23416300,32.25
2/23/2011,32.55,32.65,32.02,10.5,22150000,32.18
2/22/2011,33.29,33.66,32.52,10.5,24878000,32.53
2/18/2011,33.02,33.71,32.91,10.5,25539300,33.68
2/17/2011,32.97,33.2,32.76,10.5,14568600,33.01
2/16/2011,32.85,33.14,32.61,10.53,15820900,33.11
2/15/2011,33.12,33.15,32.61,10.34,19330500,32.76
2/14/2011,33.29,33.54,33.24,10.88,16433900,33.29
2/11/2011,33.07,33.59,33.03,10.4,17396700,33.47
2/10/2011,32.78,33.26,32.66,10.44,17237700,33.26
2/9/2011,33.04,33.1,32.61,10.45,17110900,32.89
2/8/2011,33.02,33.16,32.72,10.31,15418100,33.03
2/7/2011,32.7,33.29,32.55,10.2,22780300,32.98
2/4/2011,32.92,32.98,32.53,10.3,38688800,32.62
2/3/2011,32.98,33.16,32.72,10.3,17600700,32.99
2/2/2011,33.09,33.56,33,10.42,19357900,33.14
2/1/2011,32.17,33.43,32.11,9.93,32573500,33.24
1/31/2011,31.95,32.2,31.84,10.45,20819700,32.03
1/28/2011,33.2,33.3,31.83,11,30818200,32
1/27/2011,32.62,33.09,32.16,11.17,25630200,32.92
1/26/2011,32.31,32.73,32.16,11.65,21482200,32.56
1/25/2011,32.39,32.44,31.94,11.7,25926700,32.29
1/24/2011,32.58,32.65,32.07,11.7,20169400,32.4
1/21/2011,32.47,32.68,32.34,11.5,34478400,32.51
1/20/2011,31.47,32.35,31.47,11.48,47745000,32.31
1/19/2011,31.36,31.61,31.28,11.45,26931300,31.6
1/18/2011,31.26,31.55,31.23,10.94,26972100,31.53
1/14/2011,31.02,31.34,30.94,10.61,37933800,31.25
1/13/2011,30.97,31.39,30.9,10.6,43411700,31.13
1/12/2011,31.22,31.23,30.94,10.4,33962200,30.9
1/11/2011,31.08,31.1,30.86,10.12,26389200,30.94
1/10/2011,30.85,31.22,30.8,9.97,29719300,30.99
1/7/2011,31.24,31.34,30.93,9.8,27695600,30.98
1/6/2011,31.19,31.2,31.02,10,21856800,31.12
1/5/2011,31.32,31.44,30.98,10.2,36339700,30.99
1/4/2011,31.6,31.75,31.14,9.97,22870600,31.43
1/3/2011,31.59,31.94,31.53,9.5,20969500,31.57
12/31/2010,31.22,31.33,30.93,9.15,11716300,31.25
12/30/2010,31.45,31.58,31.21,9.15,12988900,31.24
12/29/2010,31.53,31.69,31.42,9.17,9768900,31.45
12/28/2010,31.66,31.76,31.41,9.15,9734000,31.52
12/27/2010,31.4,31.8,31.24,9.18,13821300,31.61
