Date,Open,High,Low,Close,Volume,Adj Close
2/25/2011,32.29,33.09,32.27,10.0,20846500,32.95
2/24/2011,32.1,32.41,31.64,10.4,23416300,32.25
2/23/2011,32.55,32.65,32.02,10.5,22150000,32.18
2/22/2011,33.29,33.66,32.52,10.5,24878000,32.53
2/18/2011,33.02,33.71,32.91,10.5,25539300,33.68
2/17/2011,32.97,33.2,32.76,10.5,14568600,33.01
2/16/2011,32.85,33.14,32.61,10.53,15820900,33.11
2/15/2011,33.12,33.15,32.61,10.34,19330500,32.76
2/14/2011,33.29,33.54,33.24,10.88,16433900,33.29
2/11/2011,33.07,33.59,33.03,10.4,17396700,33.47
